Source,URL,Supported concept
SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.
SEC Investor.gov - Diversification,https://www.investor.gov/introduction-investing/investing-basics/glossary/diversification,Spreading investments across holdings to reduce concentration.
Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.
Vanguard - Asset location,https://corporate.vanguard.com/content/corporatesite/us/en/corp/articles/how-asset-location-can-boost-after-tax-returns.html,"Placement of assets across taxable, tax-deferred, and Roth accounts."
Vanguard - Tax-efficient investing,https://advisors.vanguard.com/wealth-management/tax-efficient-investing,"Tax-loss harvesting, asset location, tax-aware withdrawals, charitable giving."
Vanguard - Direct indexing,https://advisors.vanguard.com/investments/personalized-indexing/what-is-direct-indexing,Direct ownership of index constituents for customization and tax-loss harvesting.
Fidelity - Tax-loss harvesting,https://www.fidelity.com/viewpoints/personal-finance/tax-loss-harvesting,Realizing losses and replacing positions while maintaining exposure.
Fidelity - Asset location,https://www.fidelity.com/viewpoints/investing-ideas/asset-location-lower-taxes,Tax-aware placement of investments across account types.
Fidelity - Roth conversion,https://www.fidelity.com/viewpoints/wealth-management/insights/roth-ira-conversion,"Conversion of tax-deferred assets to Roth assets, with current tax cost."
Fidelity - Tax-smart investing,https://www.fidelity.com/wealth-management/tax-smart-investing-planning?selectTab=1,"Tax-loss harvesting, long-term gains, municipal bonds, asset location, tax-smart withdrawals."
Schwab - Direct indexing,https://www.schwab.com/learn/story/how-to-use-direct-indexing-as-tax-strategy,Index-like exposure with stock-level tax-loss harvesting and customization.
IRS - 2026 contribution limits,https://www.irs.gov/newsroom/401k-limit-increases-to-24500-for-2026-ira-limit-increases-to-7500,"2026 401(k), IRA, catch-up, and related limits."
IRS - RMD rules,https://www.irs.gov/retirement-plans/retirement-plan-and-ira-required-minimum-distributions-faqs,Required minimum distributions and account-specific rules.
IRS - 401(k) contribution limits,https://www.irs.gov/retirement-plans/plan-participant-employee/retirement-topics-401k-and-profit-sharing-plan-contribution-limits,"Employee deferral, catch-up, and annual-addition limits."
