strategy_id,family,variant,category,base_description,test_objective,universe_or_assets,rule_or_parameter,cadence,account_context,default_benchmarks,complexity_1_6,catalog_status,source_name,source_url,source_support,safety_note,include_in_load_test
WM-0001,Broad index allocation,US total market,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VTI,100/0,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0002,Broad index allocation,Global equity,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VT,100/0,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0003,Broad index allocation,60/40 US,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VTI+BND,60/40,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0004,Broad index allocation,80/20 US,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VTI+BND,80/20,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0005,Broad index allocation,40/60 conservative,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VTI+BND,40/60,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0006,Broad index allocation,Three-fund,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VTI+VXUS+BND,55/35/10,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0007,Broad index allocation,Global 70/30,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,VT+BNDW,70/30,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0008,Broad index allocation,Equal regional equity,Core allocation,Low-cost diversified index portfolio,Market participation with broad diversification,US+Developed+EM,34/33/33,annual,taxable|traditional|roth,60/40|global equity|US total market,1,SYNTHETIC_TEST_FLAVOR,Vanguard - Index investing,https://advisors.vanguard.com/strategies/index-investing,Low-cost diversified index funds and ETFs as portfolio foundations.,Requires compiler confirmation; not a recommendation,Yes
WM-0009,Dollar-cost averaging,Weekly,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,SPY,$250 weekly,weekly,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
WM-0010,Dollar-cost averaging,Biweekly payroll,Contribution timing,Fixed contribution at regular intervals,Invest recurring savings consistently,VTI,$500 biweekly,biweekly,taxable|401k|ira|roth,lump sum|monthly DCA|cash,1,SYNTHETIC_TEST_FLAVOR,SEC Investor.gov - Dollar-cost averaging,https://www.investor.gov/introduction-investing/investing-basics/glossary/dollar-cost-averaging,Regular equal-amount investing over time.,Requires compiler confirmation; not a recommendation,Yes
